Scenario,Related to
Where can I get good veg food?,Restaurant
Tell me veg restaurants in KPHB area,Restaurant
what is the lunch buffet in DAS Restaurant,Restaurant
Is Oheris restaurant open today,Restaurant
Will they serve Brunch at Bikeneerwala?,Restaurant
Show me hotels near Secunderabad rly stn,Restaurant
where can I get mid night biryani,Restaurant
Show me hotels where veg food cost less than 200 rupees,Restaurant
Till what time Moonlight restaurant be open?,Restaurant
What is the phone number of Bhojanam restaurant located in Bala Nagar,Restaurant
Do Chaitanya restaurant undertake catering order?,Restaurant
Show me pizza Hut near Prasad's,Restaurant
Show me the restaurants that offer free home delivery of food in KPHB area,Restaurant
Give me top 5 most preferred non-veg restaurants?,Restaurant
Where can I get south India Thali near Panjagutta area?,Restaurant
Which is the best place to have continental break fast?,Restaurant
How to reserve banquet hall in Habsiguda Swagath restaurant?,Restaurant
Give me food reviews on Bhavana Kitchen ?,Restaurant
What is the wait time to have lunch at Sarvanabhavan at 1PM?,Restaurant
What are the food items available at Green Park afternoon buffet lunch?,Restaurant
In Ameerpet Swagath restaurant which price is high Veg or Nonveg?,Restaurant
Show me restaurants in Uppal area where they serve only Non-Veg,Restaurant
Where can I get best kababs in Ameerpet?,Restaurant
Show me veg restaurants where waiters speak Tamil language,Restaurant
Give me atleast two restaurant names where Buy one Get one offer for break fast?,Restaurant
What are the charges for kids meal at Krishna Grand hotel in miyapur?,Restaurant
Will Dwarka Restaurant provides Parcel service?,Restaurant
At Chutneys restaurant will they take credit card or only cash?,Restaurant
I want to order food where they deliver it to my place for free of cost,Restaurant
Want to have good food near bust stand. But my budget is 100 rupees.,Restaurant
How to reserve 2 seats in Kaveri restaurant in Jubilee hills?,Restaurant
Is Kaveri and Ganga restaurants have the same management?,Restaurant
Give me list of BJN group restaurants in Hyderabad,Restaurant
Give me restaurants located in City Center mall?,Restaurant
Want to have shopping and lunch . Suggest a place where I can do both.,Restaurant
I forgot my cell phone in Swagath hotel in Ameerpet. Pls give me its managers number,Restaurant
Is Udepy restaurant tied up with Sweggy?,Restaurant
Right now I am in Ameerpet walking towards Lakadikapool. Show me the restaurants on my way.,Restaurant
Is Swagath grand at Habsiguda has lodging facility?,Restaurant
What is the special dish at Kamath's restaurant on Diwali day?,Restaurant
Show me the top 5 multi cuisine in restaurants in KPHB area?,Restaurant
Can kids of under age 10 eat free at Kaveri restaurant?,Restaurant
"In Ameerpet, where can I get diabetic food?",Restaurant
List the drive thru restaurants in Shameer pet area?,Restaurant
What is the GST percentage for a AC restaurant?,Restaurant
What is the GST percentage for a NON AC restaurant?,Restaurant
Do Chaitanya restaurant charge additional amount when we pay the bill amount thru credit card?,Restaurant
Will Chaitanya restaurant accept money thru PayTM?,Restaurant
Is the ambience good at Jal Vihar restaurant near NTR Marg?,Restaurant
Show me the few veg food crazy combinations?,Restaurant
At Kaveri restaurant do they have parking facility?,Restaurant
I need to reserve a banquet hall in Kaveri restaurant. How much they charge for one day?,Restaurant
Which is the best place to have in house conferences in Madhapur area?,Restaurant
Show me the best Bar-be-ques in Hyderabad?,Restaurant
list me the calories information for Idly Sambar ,Restaurant
Where can I get best Rajasthani's food,Restaurant
"In Hyderabad, tell me the food festival place",Restaurant
I heard XYZ food place is not good.. Is that true?,Restaurant
Do we have Dabbawalla facility in Hyderabad?,Restaurant
Show me the list of top 5 veg catering services located in KPHB area,Restaurant
What is the kindly water bottle cost in the Park hotel?,Restaurant
I want to take my 10 friends to a hotel. Tell me the best and economic place in Ameer pet,Restaurant
Where can I get best spicy food neat IIITH?,Restaurant
Can I eat my lunch box in Swagath restaurant?,Restaurant
"In Ameer pet Swagata restaurant, do they have lift facility",Restaurant
How to cancel my dinner reservation at Ameer pet Swagata restaurant?,Restaurant
I am getting junk emails (or promotional offers) from XYZ restaurant. How to unsubscribe ?,Restaurant
Which is the best Dhabha on Highway 65?,Restaurant
Show me the food courts on highway 65?,Restaurant
List the hotels with in 20 kms radius on ORR exit number 16?,Restaurant
"At Kaveri restaurant, will they accept American express credit card?",Restaurant
I want to have authenticate Tamil food in Uppal area.,Restaurant
"Recently I heard that heroine Rakul Pret Singh had inaugurated a hotel, what is that hotel name?",Restaurant
"For a small get together, I would like to purchase 100 packets of idly. Which is the best place?",Restaurant
I would like to conduct a get together party at my home. Will Kaveri restaurant delivers the food?,Restaurant
What is the seating capacity of Kaveri restaurant in Ameerpet area?,Restaurant
What is the employee strength of BJN Hyderabad group?,Restaurant
I heard that in Ameerpet XYZ restaurant is closed. Is that true?,Restaurant
I heard that in Ameerpet XYZ restaurant is Opened. Is that true?,Restaurant
Give me the driving directions to reach XYZ restaurant in Ameer pet from Mirpur,Restaurant
what is the average delivery time of Pizza from Pizza hut KPHB branch?,Restaurant
I ordered my pizza home delivered. BUT I haven't received. How can I get refund?,Restaurant
Pizza from Pizza hut is not good. To whom should I complain?,Restaurant
In Dosa hut do they sell only Dosas?,Restaurant
"In Ramzan time, in old city do they open breakfast hotels?",Restaurant
What is the phone number of food safety officer for Hyderabad circle,Restaurant
I want to donate food for Akshaya Patra. Can I order food from XYZ restaurant and ask them to deliver it to Akshaya Patra?,Restaurant
I want to have lavish lunch for 500 rupees. Show me the AC restaurants nearby my home,Restaurant
Where can I get crystal ice cream?,Restaurant
"At Ameerpet Kaveri restaurant, do they have kids play area?",Restaurant
I have snap deal coupon for XYZ restaurant. Can I use it for today's lunch in that restaurant?,Restaurant
How to get discount coupons for Kaveri chain of restaurants?,Restaurant
I have dinner table reservation in Kaveri restaurant for 7PM. I need to change it to 8:30 PM,Restaurant
I booked a table for 10 persons for  lunch . I need to change that reservation to accommodate 15,Restaurant
I booked a dinner table for 5 in XYZ restaurant at Ameer pet. Now I want to change the same reservation to its KPHB branch. How do I do that?,Restaurant
Show me the restaurant names where they provide live telecast of todays cricket match while serving food.,Restaurant
"At Kaveri restaurant, after eating food, If I take rest for 1 hour, do they charge extra?",Restaurant
"At Kaveri restaurant , do they serve snacks during the lunch time?",Restaurant
I am new to Hyderabad. But would like to taste traditional food of various states. Show me the state wise restaurants where they serve traditional food of that state.,Restaurant
How to get monthly lunch coupons from Kaveri restaurant located in Ameer pet,Restaurant
I have Sodexho food coupons. Can I use them as an alternate to currency while paying my food bill at Kaveri restaurant?,Hospital
Show me list of cardiologists in Hyderabad city,Hospital
Show me the list of cardiologists having evening OP in Hyderabad,Hospital
Show me list of cardiologists having OP in KPHB area,Hospital
Show me list of cardiologists having OP in KPHB area in the evenings,Hospital
Show me list of cardiologists having OP in KPHB area in the evenings preferably after 7PM,Hospital
Show me list of cardiologists having OP in KPHB area on Sundays,Hospital
Show me list of cardiologists having OP in KPHB area with 2D Echo facility,Hospital
Show me list of cardiologists having OP in KPHB area tied up with cash less policy,Hospital
Show me list of poly clinics in Hyderabad city,Hospital
Show me the list of poly clinics having evening OP in Hyderabad,Hospital
Show me list of poly clinics having OP in KPHB area,Hospital
Show me list of poly clinics having OP in KPHB area in the evenings,Hospital
Show me list of poly clinics having OP in KPHB area in the evenings preferably after 7PM,Hospital
Show me list of poly clinics having OP in KPHB area on Sundays,Hospital
Show me list of poly clinics having OP in KPHB area with neo natal facility,Hospital
Show me list of poly clinics having OP in KPHB area tied up with cash less policy,Hospital
Show me list of multi specialty clinics in Hyderabad city,Hospital
Show me the list of multi specialty clinics having evening OP in Hyderabad,Hospital
Show me list of multi specialty clinics having OP in KPHB area,Hospital
Show me list of multi specialty clinics having OP in KPHB area in the evenings,Hospital
Show me list of multi specialty clinics having OP in KPHB area in the evenings preferably after 7PM,Hospital
Show me list of multi specialty clinics having OP in KPHB area on Sundays,Hospital
Show me list of multi specialty clinics having OP in KPHB area with path lab facility,Hospital
Show me list of multi specialty clinics having OP in KPHB area tied up with cash less policy,Hospital
Show me list of day care procedure clinics in Hyderabad city,Hospital
Show me the list of day care procedure clinics having evening OP in Hyderabad,Hospital
Show me list of day care procedure clinics having OP in KPHB area,Hospital
Show me list of day care procedure clinics having OP in KPHB area in the evenings,Hospital
Show me list of day care procedure clinics having OP in KPHB area in the evenings preferably after 7PM,Hospital
Show me list of day care procedure clinics having OP in KPHB area on Sundays,Hospital
Show me list of day care procedure clinics having OP in KPHB area with path lab facility,Hospital
Show me list of day care procedure clinics having OP in KPHB area tied up with cash less policy,Hospital
Show me the list of dentists in KPHB area ,Hospital
Show me list of dentists having OP in KPHB area in the evenings,Hospital
Show me list of dentists having OP in KPHB area in the evenings with expertise in root canal procedure,Hospital
Give me the list of territory hospitals in Hyderabad,Hospital
Give me list of hospitals where cash less policy is allowed.,Hospital
Give me list of hospitals where Arogya Sri is accepted.,Hospital
Which is the best children hospital in KPBH area,Hospital
What is the ENT doctor's name in Rainbow hospital in KPHB,Hospital
What is the average cost of root canal procedure?,Hospital
What is the general physician's charge?,Hospital
How many days the prescription is valid?,Hospital
Is the General Physician available on Wednesday after 6PM ?,Hospital
